Player,Year_Drafted,Year_Final,Career Earnings (millions),Cap-Inflated Earnings (millions),Earnings By Team Dict
Alex McGough,2018,2023,1.181,1.57,"{'Texans': 0.549, 'Seahawks': 0.266, 'Packers': 0.216, 'Jaguars': 0.15}"
Chad Kelly,2017,2019,1.166,1.671,"{'Broncos': 0.638, 'Colts': 0.528}"
Stetson Bennett,2023,9999,1.149,1.306,{'Rams': 1.149}
Jimmy Clausen,2015,2015,1.125,2.005,"{'Bears': 0.862, 'Ravens': 0.263}"
Clayton Tune,2023,9999,1.101,1.25,{'Cardinals': 1.101}
Sean Clifford,2023,9999,1.074,1.22,{'Packers': 1.074}
Reid Sinnett,2020,2021,1.065,1.427,"{'Dolphins': 0.437, 'Eagles': 0.415, 'Buccaneers': 0.153, 'Bengals': 0.06}"
Dorian Thompson-Robinson,2023,9999,1.059,1.203,{'Browns': 1.059}
Jaren Hall,2023,9999,1.029,1.169,{'Vikings': 1.029}
Kurt Benkert,2018,2021,1.023,1.388,"{'Falcons': 0.737, 'Packers': 0.193, '49ers': 0.092}"
Brad Kaaya,2017,2018,1.017,1.507,"{'Colts': 0.582, 'Lions': 0.271, 'Panthers': 0.164}"
B.J. Daniels,2013,2016,1.0,1.882,"{'Seahawks': 0.696, '49ers': 0.142, 'Falcons': 0.103, 'Texans': 0.06}"
Tanner McKee,2023,9999,0.937,1.064,{'Eagles': 0.937}
Danny Etling,2018,2022,0.841,1.129,"{'Patriots': 0.233, 'Packers': 0.216, 'Seahawks': 0.17, 'Falcons': 0.157, 'Jaguars': 0.055, 'Broncos': 0.009}"
Seneca Wallace,2013,2013,0.84,1.744,{'Packers': 0.84}
Joe Callahan,2016,2019,0.837,1.323,"{'Packers': 0.62, 'Browns': 0.132, 'Saints': 0.053, 'Lions': 0.032}"
Greg McElroy,2011,2013,0.815,1.723,"{'Jets': 0.713, 'Bengals': 0.102}"
Tyson Bagent,2023,9999,0.775,0.88,{'Bears': 0.775}
Clayton Thorson,2019,2021,0.726,0.975,"{'Eagles': 0.274, 'Giants': 0.266, 'Cowboys': 0.186}"
Luke Falk,2018,2018,0.719,1.021,"{'Dolphins': 0.391, 'Jets': 0.18, 'Titans': 0.149}"
Nate Stanley,2020,2021,0.707,0.946,{'Vikings': 0.707}
Curtis Painter,2013,2013,0.695,1.433,{'Giants': 0.695}
David Garrard,2013,2013,0.688,1.429,{'Jets': 0.688}
Chris Oladokun,2022,2023,0.678,0.778,"{'Chiefs': 0.588, 'Steelers': 0.09}"
Jacob Dolegala,2019,2020,0.671,0.903,"{'Bengals': 0.5, 'Patriots': 0.134, 'Dolphins': 0.037}"
Tyler Wilson,2013,2013,0.654,1.358,"{'Raiders': 0.606, 'Titans': 0.048}"
Malik Cunningham,2023,9999,0.653,0.742,"{'Patriots': 0.487, 'Ravens': 0.167}"
Brad Sorensen,2013,2015,0.642,1.284,"{'Chargers': 0.636, 'Titans': 0.006}"
Josh Woodrum,2017,2019,0.638,0.915,"{'Commanders': 0.378, 'Ravens': 0.192, 'Browns': 0.027, 'Bears': 0.021, 'Colts': 0.02}"
Stephen Morris,2015,2015,0.63,1.098,"{'Colts': 0.364, 'Eagles': 0.137, 'Jaguars': 0.13}"
Tommy DeVito,2023,9999,0.622,0.706,{'Giants': 0.622}
Nathan Rourke,2023,2023,0.615,0.699,"{'Jaguars': 0.49, 'Patriots': 0.125}"
Devlin Hodges,2019,2020,0.597,0.8,{'Steelers': 0.597}
Trevone Boykin,2016,2017,0.587,0.952,{'Seahawks': 0.587}
Nathan Enderle,2011,2011,0.544,1.154,{'Bears': 0.544}
Brady Quinn,2013,2013,0.536,1.114,"{'Rams': 0.243, 'Jets': 0.229, 'Seahawks': 0.065}"
Matt Simms,2019,2019,0.525,0.752,"{'Falcons': 0.475, 'Jets': 0.05}"
Thaddeus Lewis,2016,2016,0.458,0.766,"{'49ers': 0.428, 'Bills': 0.03}"
Chandler Harnish,2012,2013,0.45,0.931,"{'Colts': 0.358, 'Vikings': 0.092}"
Tyree Jackson,9999,9999,0.45,0.516,"{'Giants': 0.375, 'Bills': 0.075}"
Steven Montez,2020,2022,0.435,0.577,"{'Commanders': 0.235, 'Lions': 0.2}"
Zac Robinson,2013,2013,0.418,0.867,{'Bengals': 0.418}
Kyle Shurmur,2019,2020,0.388,0.532,"{'Chiefs': 0.188, 'Commanders': 0.175, 'Bengals': 0.025}"
Keith Wenning,2014,2016,0.387,0.718,"{'Ravens': 0.211, 'Bengals': 0.169, 'Giants': 0.007}"
Anthony Brown,2022,2022,0.365,0.448,{'Ravens': 0.365}
Max Duggan,2023,2023,0.362,0.411,{'Chargers': 0.362}
Max McCaffrey,2017,2017,0.349,0.533,"{'Jaguars': 0.164, '49ers': 0.112, 'Packers': 0.05, 'Saints': 0.016, 'Raiders': 0.006}"
Brandon Doughty,2017,2017,0.343,0.541,{'Dolphins': 0.343}
Spencer Rattler,2024,9999,0.336,0.336,{'Saints': 0.336}
Carson Strong,9999,9999,0.332,0.407,"{'Eagles': 0.32, 'Cardinals': 0.012}"
